-0.05973864336390089,-0.018940905097086486,-0.06,0.019,1.003,-0.443,0.32,0.916,-11.039,0.32,0.916
-0.05868695167518302,-0.018922044158786823,-0.059,0.019,1.004,-0.595,0.153,1.038,-12.82,0.153,1.038
-0.05956098143128987,-0.01888443473269471,-0.06,0.019,1.006,-0.473,0.183,1.038,-12.286,0.183,1.038
-0.061601291748522684,-0.019897871073140356,-0.062,0.02,1.005,-0.519,0.275,0.977,-11.93,0.275,0.977
-0.06043358869290628,-0.01686348065465877,-0.061,0.017,1.008,-0.488,0.336,1.053,-11.573,0.336,1.053
-0.06141725250520841,-0.02083032003621708,-0.062,0.021,1.008,-0.519,0.351,0.931,-11.395,0.351,0.931
-0.060252629174324966,-0.01879106194061831,-0.061,0.019,1.011,-0.504,0.275,0.961,-12.82,0.275,0.961
-0.05920768047479751,-0.019760273527176426,-0.06,0.02,1.012,-0.488,0.259,1.007,-10.683,0.259,1.007
-0.0591505126203833,-0.018753970821420555,-0.06,0.019,1.013,-0.473,0.275,1.007,-11.751,0.275,1.007
-0.060253716731771066,-0.017802273426496856,-0.061,0.018,1.011,-0.488,0.229,1.053,-11.751,0.229,1.053
-0.06037385662905565,-0.016846770755224432,-0.061,0.017,1.009,-0.504,0.381,1.022,-11.039,0.381,1.022
-0.061178691868836295,-0.017784685958156115,-0.062,0.018,1.012,-0.519,0.351,1.038,-12.998,0.351,1.038
-0.05822528793730381,-0.01778468595815611,-0.059,0.018,1.012,-0.488,0.183,0.992,-11.217,0.183,0.992
-0.05926608414118743,-0.019779813707647042,-0.06,0.02,1.011,-0.427,0.183,1.053,-10.861,0.183,1.053
-0.06031211970868561,-0.018809662566576176,-0.061,0.019,1.01,-0.458,0.229,1.053,-13.176,0.229,1.053
-0.05926608414118743,-0.019779813707647042,-0.06,0.02,1.011,-0.336,0.244,1.007,-12.998,0.244,1.007
-0.0611775898790204,-0.018772498061824985,-0.062,0.019,1.012,-0.397,0.183,1.007,-11.751,0.183,1.007
-0.06019325572224844,-0.01877249806182498,-0.061,0.019,1.012,-0.519,0.229,1.007,-10.683,0.229,1.007
-0.05938544787986261,-0.017837552913518476,-0.06,0.018,1.009,-0.504,0.275,0.961,-11.395,0.275,0.961
-0.05932573395012492,-0.01880966256657617,-0.06,0.019,1.01,-0.473,0.259,1.038,-11.395,0.259,1.038
-0.06136007765724911,-0.01783755291351848,-0.062,0.018,1.009,-0.397,0.259,1.144,-11.217,0.259,1.144
-0.06043255068005743,-0.01785524513955251,-0.061,0.018,1.008,-0.565,0.214,1.068,-12.82,0.214,1.068
-0.06124106612829784,-0.015824593883535604,-0.062,0.016,1.011,-0.488,0.183,0.992,-11.039,0.183,0.992
-0.06228453685643291,-0.018809662566576173,-0.063,0.019,1.01,-0.473,0.122,0.992,-12.464,0.122,0.992
-0.05816580924130726,-0.019740771910494878,-0.059,0.02,1.013,-0.473,0.275,0.961,-11.93,0.275,0.961
-0.05915258227885899,-0.01678026097349415,-0.06,0.017,1.013,-0.504,0.366,1.007,0.0,0.366,1.007
-0.059383237345270096,-0.01981901021835359,-0.06,0.02,1.009,-0.412,0.412,1.022,-11.039,0.412,1.022
-0.060135080153787226,-0.01776713320237526,-0.061,0.018,1.013,-0.473,0.29,1.068,-11.93,0.29,1.068
-0.0613005451726397,-0.016830093935318955,-0.062,0.017,1.01,-0.412,0.29,1.129,-11.217,0.29,1.129
-0.061236764508787234,-0.019779813707647045,-0.062,0.02,1.011,-0.488,0.381,1.068,-11.93,0.381,1.068
-0.06037385662905565,-0.016846770755224432,-0.061,0.017,1.009,-0.381,0.427,0.977,-11.395,0.427,0.977
-0.0591505126203833,-0.018753970821420555,-0.06,0.019,1.013,-0.473,0.519,1.083,-12.286,0.519,1.083
-0.0583402878657071,-0.017819895710460516,-0.059,0.018,1.01,-0.458,0.565,1.053,-11.93,0.565,1.053
-0.059326806977319214,-0.017819895710460516,-0.06,0.018,1.01,-0.427,0.626,1.022,-11.573,0.626,1.022
-0.06105939811272144,-0.01676371549435318,-0.062,0.017,1.014,-0.412,0.809,0.916,-10.683,0.809,0.916
-0.05510689970409054,-0.01871702582281794,-0.056,0.019,1.015,-0.397,0.87,0.809,-11.217,0.87,0.809
-0.04631064803672189,-0.017749615056497612,-0.047,0.018,1.014,-0.366,0.87,0.351,-11.039,0.87,0.351
-0.05608784793466249,-0.01970188391280887,-0.057,0.02,1.015,-0.397,0.977,-0.549,-10.683,0.977,-0.549
-0.07411092743408723,-0.016830093935318955,-0.075,0.017,1.01,-0.275,0.763,-0.626,-11.573,0.763,-0.626
-0.07600346297044715,-0.01780227342649686,-0.077,0.018,1.011,-0.183,0.458,-0.244,-12.108,0.458,-0.244
-0.06596868003471743,-0.017749615056497612,-0.067,0.018,1.014,-0.336,0.168,0.626,-11.93,0.168,0.626
-0.061178691868836295,-0.017784685958156115,-0.062,0.018,1.012,-0.366,0.671,0.946,-9.971,0.671,0.946
-0.060075936646393394,-0.01774961505649761,-0.061,0.018,1.014,-0.473,0.626,1.038,-12.108,0.626,1.038
-0.0621606252677287,-0.019760273527176426,-0.063,0.02,1.012,-0.473,0.214,1.053,-11.751,0.214,1.053
-0.06129838797658782,-0.018809662566576173,-0.062,0.019,1.01,-0.443,0.031,1.175,-11.217,0.031,1.175
-0.06031211970868561,-0.018809662566576176,-0.061,0.019,1.01,-0.504,0.259,1.129,-10.861,0.259,1.129
-0.0613005451726397,-0.016830093935318955,-0.062,0.017,1.01,-0.473,0.351,1.099,-11.751,0.351,1.099
