-5.323058371566427,-5.32641929931631,-106.50035636867821,-106.56842301000786,-0.042,0.044,1.008,-0.153,0.214,0.137,0.0,0.214,0.137
-15.435711568796854,-15.435320420941725,-149.20265407436892,-149.19573673860623,-0.042,0.041,1.008,-0.61,1.328,0.87,0.0,1.328,0.87
-28.980368511715234,-28.989276591263092,-166.17846498252055,-166.2438138441159,-0.042,0.044,1.006,-0.641,1.434,1.053,0.0,1.434,1.053
-44.1363431760143,-44.173085614618586,-172.97176456124183,-173.1680438121794,-0.039,0.044,1.008,-0.641,1.389,1.114,0.0,1.389,1.114
-59.87170063721342,-59.91730866772209,-175.72167352960395,-175.86825226194986,-0.041,0.043,1.007,-0.641,1.221,1.007,0.0,1.221,1.007
-75.02930751811759,-75.09070831281676,-176.82743278427023,-176.98781310223933,-0.04,0.043,1.011,-0.641,1.297,0.961,0.0,1.297,0.961
-89.06351173781627,-89.14726604156239,-177.27118067500024,-177.47090117177555,-0.039,0.043,1.012,-0.687,1.221,1.038,0.0,1.221,1.038
-101.69944929266323,-101.81130450848369,-177.48540019763158,-177.73445247418255,-0.037,0.042,1.014,-0.717,1.312,1.114,0.0,1.312,1.114
-112.8622574371717,-113.01550884369145,-177.53867795106612,-177.8749344506361,-0.036,0.043,1.015,-0.702,1.266,1.038,0.0,1.266,1.038
-122.63832378509905,-122.79378061635455,-177.59379577479277,-177.8296566569116,-0.039,0.042,1.015,-0.61,1.251,1.007,0.0,1.251,1.007
-131.05201471041175,-131.22657277332968,-177.61723972599634,-177.88041903947803,-0.037,0.042,1.016,-0.61,1.343,1.007,0.0,1.343,1.007
-138.23728468419992,-138.4455558693005,-177.59283960985618,-177.9345110224847,-0.036,0.043,1.016,-0.595,1.465,1.053,0.0,1.465,1.053
-144.34305389184402,-144.60616441235175,-177.55076787357785,-178.0248643799552,-0.034,0.044,1.017,-0.626,1.587,1.114,0.0,1.587,1.114
-149.57594305554846,-149.87698045782264,-177.60281415179034,-178.09586155301733,-0.033,0.042,1.018,-0.549,1.617,1.053,0.0,1.617,1.053
-153.97005255349063,-154.3212019609244,-177.51653166214743,-178.0860018303683,-0.034,0.045,1.014,-0.702,1.709,0.977,0.0,1.709,0.977
-157.680619216318,-158.08299038144906,-177.4820166705514,-178.11591865077213,-0.033,0.045,1.014,-0.656,1.816,1.083,0.0,1.816,1.083
-160.8275146324198,-161.26403056719627,-177.50498193932123,-178.13007333511464,-0.033,0.044,1.016,-0.702,2.045,1.053,0.0,2.045,1.053
-163.48247151086693,-163.97468300078518,-177.4818909917778,-178.20436284808574,-0.031,0.045,1.017,-0.687,2.167,1.068,0.0,2.167,1.068
-165.71966367027795,-166.26715788122416,-177.5107597601285,-178.3045032919477,-0.029,0.044,1.02,-0.732,2.335,0.946,0.0,2.335,0.946
-167.6153429695322,-168.18250829181858,-177.58959300246482,-178.3108756058392,-0.03,0.042,1.02,-0.702,2.533,0.931,0.0,2.533,0.931
-169.21587549468805,-169.8085355228816,-177.65342619103842,-178.3798380753633,-0.028,0.041,1.019,-0.839,2.838,0.854,0.0,2.838,0.854
-170.55188007646322,-171.17496125318857,-177.64388933723362,-178.40648896054083,-0.028,0.042,1.018,-0.839,2.991,0.763,0.0,2.991,0.763
-171.67726533176753,-172.34328601377047,-177.64423583849376,-178.48719927095635,-0.026,0.042,1.021,-0.854,3.418,0.732,0.0,3.418,0.732
-172.64249037487662,-173.31780035419357,-177.7142336814201,-178.48759977076912,-0.027,0.04,1.023,-0.809,3.693,0.809,0.0,3.693,0.809
-173.4391548531936,-174.12236114296016,-177.67375500854794,-178.41962991172124,-0.029,0.042,1.022,-0.839,4.013,0.732,0.0,4.013,0.732
-174.11206943348594,-174.81989380361517,-177.65618144633092,-178.45876336642286,-0.027,0.042,1.021,-0.809,4.242,0.793,0.0,4.242,0.793
-174.65062395014098,-175.37042284065961,-177.54535731498666,-178.3377879184262,-0.031,0.045,1.019,-0.854,4.517,0.839,0.0,4.517,0.839
-175.12853657355495,-175.804911990932,-177.60066528272998,-178.18716712814714,-0.034,0.042,1.018,-0.916,4.593,0.854,0.0,4.593,0.854
-175.52174594807946,-176.1257963809302,-177.5890817405208,-177.95826574807032,-0.039,0.043,1.018,-0.992,5.005,0.793,0.0,5.005,0.793
-175.84325597279212,-176.38652720365891,-177.55073713963077,-177.83298672710805,-0.04,0.044,1.018,-0.931,5.035,0.87,0.0,5.035,0.87
-176.1219703361323,-176.57839260908528,-177.56625704170523,-177.6788755799574,-0.043,0.043,1.016,-0.992,5.127,1.022,0.0,5.127,1.022
-176.3495125829323,-176.74164012072103,-177.54451748726714,-177.62291859362762,-0.043,0.044,1.02,-0.961,5.234,0.946,0.0,5.234,0.946
-176.54835167819462,-176.87756640311633,-177.56519352801584,-177.5962667161921,-0.043,0.043,1.017,-0.916,5.371,0.885,0.0,5.371,0.885
-176.7242796931396,-176.9828001389667,-177.60720831548088,-177.55186326505284,-0.044,0.042,1.017,-0.931,5.432,0.992,0.0,5.432,0.992
-176.86329861448033,-177.0712693995661,-177.5902752736757,-177.53409380256488,-0.044,0.043,1.017,-1.038,5.6,0.885,0.0,5.6,0.885
-176.97240543217188,-177.15558555742928,-177.552678361716,-177.5635696562682,-0.043,0.044,1.019,-1.099,5.615,0.9,0.0,5.615,0.9
-177.08077743092437,-177.18955911556841,-177.6008123088523,-177.4360061343318,-0.047,0.042,1.016,-1.038,5.676,0.87,0.0,5.676,0.87
