-11.008757061413727,-11.14623033459685,-106.59971992180395,-107.93163479649057,-0.002,0.041,1.006,-0.137,0.198,0.198,0.0,0.198,0.198
-25.394539357043733,-25.706997157872173,-149.20406998530356,-151.03580339461104,-0.004,0.042,1.005,-0.32,0.504,0.931,0.0,0.504,0.931
-41.31472663402877,-41.826120217474966,-166.2500766613163,-168.31198178456896,-0.003,0.042,1.008,-0.305,0.549,0.916,0.0,0.549,0.916
-57.4825722002704,-58.188424067541064,-173.10667050044108,-175.2227564515149,-0.003,0.041,1.011,-0.351,0.565,1.053,0.0,0.565,1.053
-72.97373944275526,-73.88777977994992,-175.7489559830928,-177.98716602368955,-0.003,0.044,1.012,-0.412,0.595,0.992,0.0,0.595,0.992
-87.29957649656811,-88.38273748206267,-176.8736852493591,-179.05896600920215,-0.004,0.042,1.012,-0.366,0.473,1.038,0.0,0.473,1.038
-100.17911154009525,-101.42990875455726,-177.2925428118836,-179.52185369317192,-0.003,0.043,1.014,-0.366,0.534,1.068,0.0,0.534,1.068
-111.58160539410326,-112.96345990871716,-177.49672906419053,-179.6733757319953,-0.004,0.042,1.016,-0.397,0.473,0.961,0.0,0.473,0.961
-121.53252639563671,-123.05445623296288,-177.51084775942138,-179.76781838881055,-0.003,0.044,1.016,-0.29,0.504,0.992,0.0,0.504,0.992
-130.12924925280907,-131.73662995941612,-177.65426716113467,-179.80579281946342,-0.003,0.04,1.018,-0.381,0.565,0.961,0.0,0.565,0.961
-137.50416044211113,-139.2118925498323,-177.6414171768318,-179.8546165678112,-0.002,0.042,1.016,-0.351,0.595,1.038,0.0,0.595,1.038
-143.78016663627986,-145.5563358775698,-177.63347791943158,-179.80620887656173,-0.004,0.042,1.014,-0.336,0.58,1.007,0.0,0.58,1.007
-149.10443163944586,-150.91104989204027,-177.66824252391297,-179.71964355737006,-0.006,0.041,1.017,-0.351,0.549,0.931,0.0,0.549,0.931
-153.6008461711622,-155.46042351754073,-177.67942252569253,-179.786225510493,-0.003,0.041,1.015,-0.366,0.519,1.053,0.0,0.519,1.053
-157.40020845718752,-159.31343379381448,-177.6838925830374,-179.84672518844815,-0.002,0.041,1.015,-0.32,0.565,1.038,0.0,0.565,1.038
-160.60781899103495,-162.54914632856284,-177.6829470244166,-179.8029185444596,-0.004,0.041,1.013,-0.397,0.58,1.022,0.0,0.58,1.022
-163.30092919112215,-165.2832228351519,-177.6176817310513,-179.78566231706287,-0.004,0.043,1.015,-0.366,0.595,0.977,0.0,0.595,0.977
-165.57567171878722,-167.59072246099916,-177.63234591188373,-179.81313037565906,-0.003,0.042,1.02,-0.351,0.534,0.87,0.0,0.534,0.87
-167.48738929359862,-169.53100651792073,-177.63404160497362,-179.8238179755331,-0.003,0.042,1.017,-0.32,0.565,0.931,0.0,0.565,0.931
-169.09449029913603,-171.18103811726988,-177.6305294606588,-179.89559836756067,-0.001,0.042,1.014,-0.381,0.565,1.114,0.0,0.565,1.114
-170.44016347537004,-172.55357035313727,-177.59671442392698,-179.85660441045135,-0.003,0.043,1.015,-0.366,0.58,1.022,0.0,0.58,1.022
-171.59162965411102,-173.7187543215046,-177.65081215945298,-179.87488022163126,-0.002,0.041,1.015,-0.381,0.488,1.022,0.0,0.488,1.022
-172.56150483504442,-174.68989233976407,-177.67789258946755,-179.848718293853,-0.003,0.041,1.019,-0.366,0.534,1.083,0.0,0.534,1.083
-173.36953762668804,-175.5085713861649,-177.65226333694903,-179.83805200404515,-0.003,0.042,1.017,-0.381,0.58,1.068,0.0,0.58,1.068
-174.04042396880413,-176.20590581378505,-177.60968797906406,-179.86765277297903,-0.002,0.043,1.018,-0.275,0.626,1.053,0.0,0.626,1.053
-174.614032947563,-176.7921510078536,-177.629147703042,-179.87962771919857,-0.002,0.042,1.02,-0.336,0.58,1.022,0.0,0.58,1.022
-175.10515626473122,-177.26758141193733,-177.66922195241852,-179.81688331248623,-0.004,0.041,1.019,-0.259,0.488,1.038,0.0,0.488,1.038
-175.51923045623076,-177.68589455598052,-177.6866105027505,-179.85932110159564,-0.002,0.041,1.02,-0.366,0.549,1.068,0.0,0.549,1.068
-175.85822002877686,-178.04696631399506,-177.65713701778438,-179.90993335695833,-0.001,0.042,1.018,-0.259,0.549,1.068,0.0,0.549,1.068
-176.15195359504693,-178.3417837218621,-177.67770680518257,-179.89633756988286,-0.002,0.041,1.017,-0.366,0.656,1.022,0.0,0.656,1.022
-176.40840432665493,-178.58101407826905,-177.7210067337574,-179.85720313387725,-0.003,0.04,1.018,-0.29,0.504,1.053,0.0,0.504,1.053
-176.606537159484,-178.79135260582254,-177.67089827854005,-179.87531314463186,-0.002,0.042,1.018,-0.32,0.626,1.114,0.0,0.626,1.114
-176.78170371392793,-178.94149221414082,-177.68320506617954,-179.78108789940626,-0.005,0.041,1.017,-0.229,0.534,1.083,0.0,0.534,1.083
-176.92979939753394,-179.08568623066716,-177.69084902941842,-179.81120210822164,-0.003,0.041,1.019,-0.351,0.519,0.946,0.0,0.519,0.946
-177.05471492256612,-179.21621994948225,-177.69390684621052,-179.85698303072445,-0.002,0.041,1.019,-0.351,0.534,0.961,0.0,0.534,0.961
-177.13317025052083,-179.31717924239928,-177.5940962782986,-179.84155648917587,-0.003,0.044,1.019,-0.351,0.595,1.083,0.0,0.595,1.083
-177.22543095874104,-179.39312226055068,-177.6538455540582,-179.80151952583242,-0.004,0.041,1.018,-0.275,0.549,1.099,0.0,0.549,1.099
